zdid,,,lxid,,,ysfsbm,zdmc
1,NULL,NULL,1,NULL,NULL,1,北京
2,NULL,NULL,1,NULL,NULL,1,亦庄
3,NULL,NULL,1,NULL,NULL,1,武清
4,NULL,NULL,1,NULL,NULL,1,南仓所
5,NULL,NULL,1,NULL,NULL,1,北京南
6,NULL,NULL,1,NULL,NULL,1,丰台
7,NULL,NULL,1,NULL,NULL,1,黄土坡
8,NULL,NULL,1,NULL,NULL,1,黄村
9,NULL,NULL,1,NULL,NULL,1,魏善庄
10,NULL,NULL,1,NULL,NULL,1,安定
11,NULL,NULL,1,NULL,NULL,1,万庄
12,NULL,NULL,1,NULL,NULL,1,廊坊北
13,NULL,NULL,1,NULL,NULL,1,落垡
14,NULL,NULL,1,NULL,NULL,1,豆张庄
15,NULL,NULL,1,NULL,NULL,1,杨村
16,NULL,NULL,1,NULL,NULL,1,汉沟镇
17,NULL,NULL,1,NULL,NULL,1,北仓
18,NULL,NULL,1,NULL,NULL,1,南仓
19,NULL,NULL,1,NULL,NULL,1,天津北
20,NULL,NULL,1,NULL,NULL,1,天津
21,NULL,NULL,1,NULL,NULL,1,塘沽
22,NULL,NULL,1,NULL,NULL,1,泰达
23,NULL,NULL,1,NULL,NULL,1,茶淀
24,NULL,NULL,1,NULL,NULL,1,汉沽
25,NULL,NULL,1,NULL,NULL,1,芦台
26,NULL,NULL,1,NULL,NULL,1,田庄
27,NULL,NULL,1,NULL,NULL,1,唐坊
28,NULL,NULL,1,NULL,NULL,1,丰南
29,NULL,NULL,1,NULL,NULL,1,唐山
30,NULL,NULL,1,NULL,NULL,1,石郎庄
31,NULL,NULL,1,NULL,NULL,1,福山寺
32,NULL,NULL,1,NULL,NULL,1,马柳
33,NULL,NULL,1,NULL,NULL,1,杨各庄
34,NULL,NULL,1,NULL,NULL,1,滦县
35,NULL,NULL,1,NULL,NULL,1,滦县东
36,NULL,NULL,1,NULL,NULL,1,昌黎
37,NULL,NULL,1,NULL,NULL,1,北戴河
38,NULL,NULL,1,NULL,NULL,1,秦皇岛
39,NULL,NULL,1,NULL,NULL,1,龙家营
40,NULL,NULL,1,NULL,NULL,1,山海关
41,NULL,NULL,1,NULL,NULL,1,东戴河
42,NULL,NULL,1,NULL,NULL,1,龙家营所
43,NULL,NULL,1,NULL,NULL,1,广安门
44,NULL,NULL,1,NULL,NULL,1,曹子里
45,NULL,NULL,1,NULL,NULL,1,崔黄口
46,NULL,NULL,1,NULL,NULL,1,大口屯
47,NULL,NULL,1,NULL,NULL,1,宝坻
48,NULL,NULL,1,NULL,NULL,1,下仓
49,NULL,NULL,1,NULL,NULL,1,上仓
50,NULL,NULL,1,NULL,NULL,1,蓟县
51,NULL,NULL,1,NULL,NULL,1,三百吨
52,NULL,NULL,1,NULL,NULL,1,燕郊
53,NULL,NULL,1,NULL,NULL,1,大厂县
54,NULL,NULL,1,NULL,NULL,1,三平
55,NULL,NULL,1,NULL,NULL,1,三河县
56,NULL,NULL,1,NULL,NULL,1,段甲岭
57,NULL,NULL,1,NULL,NULL,1,蓟县南
58,NULL,NULL,1,NULL,NULL,1,别山
59,NULL,NULL,1,NULL,NULL,1,螺山
60,NULL,NULL,1,NULL,NULL,1,玉田县
61,NULL,NULL,1,NULL,NULL,1,富庄子
62,NULL,NULL,1,NULL,NULL,1,唐山北
63,NULL,NULL,1,NULL,NULL,1,狼窝铺
64,NULL,NULL,1,NULL,NULL,1,沙子河
65,NULL,NULL,1,NULL,NULL,1,马铺营
66,NULL,NULL,1,NULL,NULL,1,迁安
67,NULL,NULL,1,NULL,NULL,1,卢龙
68,NULL,NULL,1,NULL,NULL,1,抚宁
69,NULL,NULL,1,NULL,NULL,1,双桥
70,NULL,NULL,1,NULL,NULL,1,通州西
71,NULL,NULL,1,NULL,NULL,1,张辛
72,NULL,NULL,1,NULL,NULL,1,顺义
73,NULL,NULL,1,NULL,NULL,1,高各庄
74,NULL,NULL,1,NULL,NULL,1,庙城
75,NULL,NULL,1,NULL,NULL,1,怀柔
76,NULL,NULL,1,NULL,NULL,1,统军庄
77,NULL,NULL,1,NULL,NULL,1,密云北
78,NULL,NULL,1,NULL,NULL,1,六道河子
